TILEMAP
20 15 							-- Size of tile map in tiles
16 16 							-- Tile size & block size
images/minecraft_sprites_with_alpha.png 	-- Tilesheet
40 20 								-- Number of tiles in tilesheet
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,
2,2,2,2,2,2,2,465,465,465,465,465,465,2,2,2,2,2,2,2,
2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,
0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,2,2,2,
2,2,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,2,2,2,
2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,
2,2,2,0,0,0,0,0,0,12,0,0,0,0,0,0,0,2,2,2,
2,2,2,2,2,2,2,2,2,2,140,140,140,140,0,0,0,2,2,2,
2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,2,2,2,
2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,2,2,2,
2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,2,2,2,
2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,2,2,2
